time,value
1543552000,
1543552000,
1543552000,
1543553000,
1543553000,
1543553000,
1543554000,84.396066
1543554000,91.278859
1543554000,91.855519
1543555000,96.882528
1543555000,97.218929
1543555000,96.825509
1543556000,94.278773
1543556000,96.499038
1543556000,96.318619
1543556000,96.343044
1543557000,95.888874
1543557000,98.98074
1543557000,100.208468
1543558000,103.032928
1543558000,112.966788
1543558000,117.670414
1543558000,119.295573
1543559000,115.454907
1543559000,124.717741
1543559000,129.931584
1543560000,128.508052
1543560000,131.681051
1543560000,139.300549
1543561000,141.18049
1543561000,154.543123
1543561000,154.958647
1543562000,154.739867
1543562000,155.474386
1543562000,155.720627
1543562000,159.305071
1543563000,163.807327
1543563000,167.495387
1543563000,168.916996
1543564000,168.659402
1543564000,170.434695
1543564000,172.688401
1543564000,173.061162
1543565000,174.968636
1543565000,183.407458
1543565000,176.992967
1543566000,177.946703
1543566000,176.122449
1543566000,176.099696
1543567000,177.073289
1543567000,178.142699
1543567000,175.815079
1543568000,172.362367
1543568000,164.411682
1543568000,167.162992
1543568000,170.784954
1543569000,170.734319
1543569000,166.663875
1543569000,154.503077
1543570000,157.97796
1543570000,152.215126
1543570000,162.668063
1543570000,163.945538
1543571000,160.779775
1543571000,156.978954
1543571000,152.953973
1543572000,152.325832
1543572000,151.153284
1543572000,139.02343
1543573000,143.845187
1543573000,149.811239
1543573000,150.434864
1543574000,150.164469
1543574000,143.842837
1543574000,148.556233
1543574000,147.758331
1543575000,148.807524
1543575000,147.531398
1543575000,145.773582
1543576000,137.818634
1543576000,139.351306
1543576000,136.073928
1543576000,145.955227
1543577000,137.238798
1543577000,144.299196
1543577000,145.879988
1543578000,148.757435
1543578000,145.960914
1543578000,141.467185
1543579000,140.48553
1543579000,137.284304
1543579000,133.903847
